model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m-deduped,Deduped,0.41,stackexchange,0,0.03708817117033021
EleutherAI/pythia-410m-deduped,Deduped,0.41,wikipedia,0,1.4245539449096162e-05
EleutherAI/pythia-410m-deduped,Deduped,0.41,cc,0,0.6172989889684068
EleutherAI/pythia-410m-deduped,Deduped,0.41,github,0,0.212864343701486
EleutherAI/pythia-410m-deduped,Deduped,0.41,openwebtext2,0,0.7375055965550601
EleutherAI/pythia-410m-deduped,Deduped,0.41,freelaw,0,0.24975272634276197
EleutherAI/pythia-410m-deduped,Deduped,0.41,math,0,0.011760662590551137
EleutherAI/pythia-410m-deduped,Deduped,0.41,uspto,0,3.7465692621088043e-06
EleutherAI/pythia-410m-deduped,Deduped,0.41,hackernews,0,0.0003808889403426068
EleutherAI/pythia-410m-deduped,Deduped,0.41,books3,0,0.006059416031997788
EleutherAI/pythia-410m-deduped,Deduped,0.41,gutenberg,0,0.008914338371669373
EleutherAI/pythia-410m-deduped,Deduped,0.41,arxiv,0,0.9840233452480612
EleutherAI/pythia-410m-deduped,Deduped,0.41,bookcorpus2,0,2.1589160124771188e-14
EleutherAI/pythia-410m-deduped,Deduped,0.41,opensubtitles,0,0.24646780182347844
EleutherAI/pythia-410m-deduped,Deduped,0.41,youtubesubtitles,0,2.0717223945782464e-33
EleutherAI/pythia-410m-deduped,Deduped,0.41,ubuntu,0,5.1243078004704726e-74
EleutherAI/pythia-410m-deduped,Deduped,0.41,europarl,0,1.2231971614345958e-06
EleutherAI/pythia-410m-deduped,Deduped,0.41,philpapers,0,1.1591600104570598e-23
